,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
count,530104.0,530104,530104,530104.0,530104,530104.0,530104.0,530104
unique,19962.0,3922,4026,,18499,,,38
top,573585.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,,2011-10-31 14:41:00,,,United Kingdom
freq,1114.0,2265,2323,,1114,,,485123
mean,,,,10.542037034242338,,3.90762524712132,15292.571874575555,
std,,,,155.52412351063626,,35.91568110425544,1484.197955430845,
min,,,,1.0,,0.001,12346.0,
25%,,,,1.0,,1.25,14383.0,
50%,,,,3.0,,2.08,15287.0,
75%,,,,10.0,,4.13,16265.0,
max,,,,80995.0,,13541.33,18287.0,
